2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
5,2,3,4,4,4,5,3,25,9,8,5,8,6,8,15,16,5,5,5,6,6,6,5,7,7,6,5,2,6,5,8,6,7,4,6,6,3,5,5,5,9,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,4,3,12,3,2,3,2,8,3,10,10,4,15,10,10,10,10,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
'C (all)',Grvl,Grvl,IR3,Low,ELO,Corner,Sev,Blmngtn,Artery,Artery,1Fam,1.5Fin,Flat,ClyTile,'Wd Sdng','Brk Cmn',BrkCmn,Po,Po,BrkTil,NA,NA,NA,NA,NA,Floor,Po,N,FuseA,Po,Sal,NA,2Types,NA,NA,NA,N,NA,NA,Gar2,COD,Abnorml,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1014492754,0.1,0.1,1,0.25,0.3333333333,0.0833333333,0.3333333333,0.5,0.3333333333,0.5,0.125,0.3333333333,1,1,0.25,120,0.1,0.1,0.1,0.1,0.1
FV,Pave,NA,IR2,HLS,NoSeWa,CulDSac,Mod,Blueste,Feedr,Feedr,2fmCon,1.5Unf,Gable,CompShg,AsbShng,'Wd Sdng',BrkFace,Fa,Fa,CBlock,Po,Po,No,Unf,Unf,GasA,Fa,Y,FuseF,Fa,Sev,Po,Attchd,Unf,Po,Po,P,Fa,MnWw,NA,CWD,AdjLand,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2028985507,0.2,0.2,10,0.5,0.6666666667,0.1666666667,0.6666666667,,0.6666666667,,0.25,0.6666666667,2,2,0.5,160,0.2,0.2,0.2,0.2,0.2
RH, ,Pave,IR1,Bnk,NoSewr,FR2,Gtl,BrDale,Norm,Norm,Duplex,1Story,Gambrel,Membran,AsphShn,'Wd Shng',NA,TA,TA,PConc,Fa,Fa,Mn,LwQ,LwQ,GasW,TA, ,FuseP,TA,Maj2,Fa,Basment,RFn,Fa,Fa,Y,TA,GdWo,Othr,Con,Alloca,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3043478261,0.3,0.3,11,0.75,,0.25,,,,,0.375,,3,3,0.75,180,0.3,0.3,0.3,0.3,0.3
RL, , ,Reg,Lvl,AllPub,FR3, ,BrkSide,PosA,PosA,Twnhs,2.5Fin,Hip,Metal,BrkComm,AsbShng,None,Gd,Gd,Slab,TA,TA,Av,Rec,Rec,Grav,Gd, ,Mix,Gd,Maj1,TA,BuiltIn,Fin,TA,TA, ,Gd,MnPrv,Shed,ConLD,Family,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4057971014,0.4,0.4,12,,,0.3333333333,,,,,0.5,,4,4, ,190,0.4,0.4,0.4,0.4,0.4
RM, , , , , ,Inside, ,ClearCr,PosN,PosN,TwnhsE,2.5Unf,Mansard,Roll,BrkFace,AsphShn,Stone,Ex,Ex,Stone,Gd,Gd,Gd,BLQ,BLQ,OthW,Ex, ,NA,Ex,Mod,Gd,CarPort, ,Gd,Gd, ,Ex,GdPrv,TenC,ConLI,Normal,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5072463768,0.5,0.5,2,,,0.4166666667,,,,,0.625,,5,5, ,20,0.5,0.5,0.5,0.5,0.5
 , , , , , , , ,CollgCr,RRAe,RRAe, ,2Story,Shed,Tar&Grv,CBlock,BrkFace, , , ,Wood,Ex,Ex, ,ALQ,ALQ,Wall, , ,SBrkr, ,Min2,Ex,Detchd, ,Ex,Ex, , , , ,ConLw,Partial,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6086956522,0.6,0.6,3,,,0.5,,,,,0.75,,6,6, ,30,0.6,0.6,0.6,0.6,0.6
 , , , , , , , ,Crawfor,RRAn,RRAn, ,SFoyer, ,WdShake,CemntBd,CBlock, , , , , , , ,GLQ,GLQ, , , , , ,Min1, ,NA, , , , , , , ,New, ,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7101449275,0.7,0.7,4,,,0.5833333333,,,,,0.875,,7,7, ,40,0.7,0.7,0.7,0.7,0.7
 , , , , , , , ,Edwards,RRNe,RRNn, ,SLvl, ,WdShngl,HdBoard,CmentBd, , , , , , , , , , , , , , ,Typ, , , , , , , , , ,Oth, ,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8043478261,0.8,0.8,5,,,0.6666666667,,,,,,,8,8, ,45,0.8,0.8,0.8,0.8,0.8
 , , , , , , , ,Gilbert,RRNn, , , , , ,ImStucc,HdBoard, , , , , , , , , , , , , , , , , , , , , , , , ,WD, ,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8985507246,0.9,0.9,6,,,0.75,,,,,,,9,9, ,50,0.9,0.9,0.9,0.9,0.9
 , , , , , , , ,IDOTRR, , , , , , ,MetalSd,ImStucc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,, ,0.8333333333,,,,,,,10,10, ,60, , , , , 
 , , , , , , , ,MeadowV, , , , , , ,Plywood,MetalSd, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8, , ,0.9166666667, , , , , , , , , ,70, , , , , 
 , , , , , , , ,Mitchel, , , , , , ,Stone,Other, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, , , , , , , , , , , , ,75, , , , , 
 , , , , , , , ,NAmes, , , , , , ,Stucco,Plywood, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,80, , , , , 
 , , , , , , , ,NPkVill, , , , , , ,VinylSd,Stone, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,85, , , , , 
 , , , , , , , ,NWAmes, , , , , , ,WdShing,Stucco, , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , ,NoRidge, , , , , , , ,VinylSd, , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , ,NridgHt, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , ,OldTown, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , ,SWISU, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , ,Sawyer, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , ,SawyerW, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , ,Somerst, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
