MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MiscFeature,SaleType,SaleCondition,LotFrontage,LotArea,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,YearBuilt,YearRemodAdd,GarageYrBlt,MoSold,GarageCars,Fireplaces,TotRmsAbvGrd,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,OverallQual,OverallCond,YrSold,MSSubClass,LowQualFinSF,3SsnPorch,ScreenPorch,PoolArea,MiscVal,SalePrice
RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,NA,Attchd,RFn,TA,TA,Y,NA,NA,NA,WD,Normal,0.207668,0.043768,0.1225,0.125089,0,0.078658,0.140098,0.08862,0.530106,0.219377,0.38646,0,0.145933,0,0.956204,0.883333,0.996517,0.090909,0.5,0,0.454545,0.333333,0,0.666667,0.5,0.375,0.333333,0.571429,0.428571,0.5,0.235294,0,0,0,0,0,208500
RL,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,Gd,TA,Gd,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,TA,TA,Y,NA,NA,NA,WD,Normal,0.255591,0.050808,0,0.173281,0,0.148925,0.206547,0.18508,0,0.130435,0.324401,0.404891,0,0,0.759124,0.433333,0.983085,0.363636,0.5,0.333333,0.272727,0,0.5,0.666667,0,0.375,0.333333,0.428571,0.857143,0.25,0,0,0,0,0,0,181500
RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,NA,NA,NA,WD,Normal,0.217252,0.060908,0.10125,0.086109,0,0.227583,0.150573,0.103825,0.537554,0.234465,0.428773,0,0.100478,0,0.941606,0.866667,0.995522,0.727273,0.5,0.333333,0.272727,0.333333,0,0.666667,0.5,0.375,0.333333,0.571429,0.428571,0.5,0.235294,0,0,0,0,0,223500
RL,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,'Wd Sdng','Wd Shng',None,TA,TA,BrkTil,TA,Gd,No,ALQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Gd,Detchd,Unf,TA,TA,Y,NA,NA,NA,WD,Abnorml,0.191693,0.050502,0,0.038271,0,0.283167,0.123732,0.113566,0.469274,0.220766,0.45275,0,0.083732,0.492754,0.313869,0.333333,0.99403,0.090909,0.75,0.333333,0.363636,0.333333,0,0.333333,0,0.375,0.333333,0.571429,0.428571,0,0.294118,0,0,0,0,0,140000
RL,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,NA,NA,NA,WD,Normal,0.268371,0.079334,0.21875,0.116052,0,0.256948,0.187398,0.157282,0.653631,0.31626,0.589563,0.26087,0.200957,0,0.934307,0.833333,0.995025,1,0.75,0.333333,0.545455,0.333333,0,0.666667,0.5,0.5,0.333333,0.714286,0.428571,0.5,0.235294,0,0,0,0,0,250000
RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,Wood,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,NA,Attchd,Unf,TA,TA,Y,NA,MnPrv,Shed,WD,Normal,0.271565,0.078446,0,0.129695,0,0.033561,0.130278,0.074364,0.351335,0.150288,0.338505,0.054348,0.07177,0,0.883212,0.75,0.991542,0.818182,0.5,0,0.181818,0.333333,0,0.333333,0.5,0.125,0.333333,0.285714,0.428571,0.75,0.176471,0,0.629921,0,0,0.045161,143000
RL,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,Stone,TA,TA,CBlock,Gd,TA,Mn,ALQ,BLQ,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,TA,TA,Y,NA,NA,Shed,WD,Normal,0,0.055595,0.15,0.152197,0.028394,0.113267,0.181178,0.148254,0.61018,0.294818,0.341326,0.319293,0.488038,0.413043,0.737226,0.383333,0.981592,0.909091,0.5,0.666667,0.363636,0.333333,0,0.666667,0.5,0.375,0.333333,0.571429,0.571429,0.75,0.235294,0,0,0,0,0.022581,200000
RM,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,BrkFace,'Wd Shng',None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Gd,Y,FuseF,TA,Min1,TA,Detchd,Unf,Fa,TA,Y,NA,NA,NA,WD,Abnorml,0.162939,0.029505,0,0,0,0.499213,0.15581,0.128059,0.466791,0.232083,0.330042,0.122283,0,0.371377,0.430657,0,0.960697,0.272727,0.5,0.666667,0.454545,0,0,0.666667,0,0.25,0.666667,0.571429,0.428571,0.5,0.176471,0,0,0,0,0,129900
RL,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,Gd,TA,Y,NA,NA,NA,WD,Normal,0.159744,0.037463,0,0.15078,0,0.073414,0.162193,0.141126,0,0.093707,0.14457,0,0.009569,0,0.489051,0,0.964677,0,0.25,0.666667,0.181818,0.333333,0,0.333333,0,0.25,0.666667,0.285714,0.571429,0.5,1,0,0,0,0,0,118000
RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Ex,Y,SBrkr,TA,Typ,NA,Detchd,Unf,TA,TA,Y,NA,NA,NA,WD,Normal,0.223642,0.060602,0,0.160524,0,0.070267,0.170213,0.132335,0,0.086361,0.270804,0,0,0,0.678832,0.25,0.977612,0.090909,0.25,0,0.181818,0.333333,0,0.333333,0,0.375,0.333333,0.285714,0.428571,0.5,0,0,0,0,0,0,129500
