Id,MSSubClass,MSZoning=RH,MSZoning=RL,MSZoning=RM,MSZoning=FV,'MSZoning=C (all)',LotFrontage,LotArea,Street,Alley,LotShape=Reg,LotShape=IR1,LotShape=IR2,LotShape=IR3,LandContour=Lvl,LandContour=HLS,LandContour=Bnk,LandContour=Low,Utilities,LotConfig=Inside,LotConfig=Corner,LotConfig=FR2,LotConfig=CulDSac,LotConfig=FR3,LandSlope=Gtl,LandSlope=Mod,LandSlope=Sev,Neighborhood=NAmes,Neighborhood=Gilbert,Neighborhood=StoneBr,Neighborhood=BrDale,Neighborhood=NPkVill,Neighborhood=NridgHt,Neighborhood=Blmngtn,Neighborhood=NoRidge,Neighborhood=Somerst,Neighborhood=SawyerW,Neighborhood=Sawyer,Neighborhood=NWAmes,Neighborhood=OldTown,Neighborhood=BrkSide,Neighborhood=ClearCr,Neighborhood=SWISU,Neighborhood=Edwards,Neighborhood=CollgCr,Neighborhood=Crawfor,Neighborhood=Blueste,Neighborhood=IDOTRR,Neighborhood=Mitchel,Neighborhood=Timber,Neighborhood=MeadowV,Neighborhood=Veenker,Condition1=Feedr,Condition1=Norm,Condition1=PosN,Condition1=RRNe,Condition1=Artery,Condition1=RRNn,Condition1=PosA,Condition1=RRAn,Condition1=RRAe,Condition2=Norm,Condition2=Feedr,Condition2=PosA,Condition2=PosN,Condition2=Artery,BldgType=1Fam,BldgType=TwnhsE,BldgType=Twnhs,BldgType=Duplex,BldgType=2fmCon,HouseStyle=1Story,HouseStyle=2Story,HouseStyle=SLvl,HouseStyle=1.5Fin,HouseStyle=SFoyer,HouseStyle=2.5Unf,HouseStyle=1.5Unf,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle=Gable,RoofStyle=Hip,RoofStyle=Gambrel,RoofStyle=Flat,RoofStyle=Mansard,RoofStyle=Shed,RoofMatl=CompShg,RoofMatl=Tar&Grv,RoofMatl=WdShake,RoofMatl=WdShngl,Exterior1st=VinylSd,'Exterior1st=Wd Sdng',Exterior1st=HdBoard,Exterior1st=Plywood,Exterior1st=MetalSd,Exterior1st=CemntBd,Exterior1st=WdShing,Exterior1st=BrkFace,Exterior1st=AsbShng,Exterior1st=BrkComm,Exterior1st=Stucco,Exterior1st=AsphShn,Exterior1st=CBlock,Exterior2nd=VinylSd,'Exterior2nd=Wd Sdng',Exterior2nd=HdBoard,Exterior2nd=Plywood,Exterior2nd=MetalSd,'Exterior2nd=Brk Cmn',Exterior2nd=CmentBd,Exterior2nd=ImStucc,'Exterior2nd=Wd Shng',Exterior2nd=AsbShng,Exterior2nd=Stucco,Exterior2nd=CBlock,Exterior2nd=BrkFace,Exterior2nd=AsphShn,Exterior2nd=Stone,MasVnrType=None,MasVnrType=BrkFace,MasVnrType=Stone,MasVnrType=BrkCmn,MasVnrArea,ExterQual=TA,ExterQual=Gd,ExterQual=Ex,ExterQual=Fa,ExterCond=TA,ExterCond=Gd,ExterCond=Fa,ExterCond=Po,ExterCond=Ex,Foundation=CBlock,Foundation=PConc,Foundation=BrkTil,Foundation=Stone,Foundation=Slab,Foundation=Wood,BsmtQual=TA,BsmtQual=Gd,BsmtQual=Ex,BsmtQual=Fa,BsmtCond=TA,BsmtCond=Po,BsmtCond=Fa,BsmtCond=Gd,BsmtExposure=No,BsmtExposure=Gd,BsmtExposure=Mn,BsmtExposure=Av,BsmtFinType1=Rec,BsmtFinType1=ALQ,BsmtFinType1=GLQ,BsmtFinType1=Unf,BsmtFinType1=BLQ,BsmtFinType1=LwQ,BsmtFinSF1,BsmtFinType2=LwQ,BsmtFinType2=Unf,BsmtFinType2=Rec,BsmtFinType2=BLQ,BsmtFinType2=GLQ,BsmtFinType2=ALQ,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating=GasA,Heating=GasW,Heating=Grav,Heating=Wall,HeatingQC=TA,HeatingQC=Gd,HeatingQC=Ex,HeatingQC=Fa,HeatingQC=Po,CentralAir,Electrical=SBrkr,Electrical=FuseA,Electrical=FuseF,Electrical=FuseP,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual=TA,KitchenQual=Gd,KitchenQual=Ex,KitchenQual=Fa,TotRmsAbvGrd,Functional=Typ,Functional=Min2,Functional=Min1,Functional=Mod,Functional=Maj1,Functional=Sev,Functional=Maj2,Fireplaces,FireplaceQu=TA,FireplaceQu=Gd,FireplaceQu=Po,FireplaceQu=Fa,FireplaceQu=Ex,GarageType=Attchd,GarageType=Detchd,GarageType=BuiltIn,GarageType=Basment,GarageType=2Types,GarageType=CarPort,GarageYrBlt,GarageFinish=Unf,GarageFinish=Fin,GarageFinish=RFn,GarageCars,GarageArea,GarageQual=TA,GarageQual=Fa,GarageQual=Gd,GarageQual=Po,GarageCond=TA,GarageCond=Fa,GarageCond=Gd,GarageCond=Po,GarageCond=Ex,PavedDrive=Y,PavedDrive=N,PavedDrive=P,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence=MnPrv,Fence=GdPrv,Fence=GdWo,Fence=MnWw,MiscFeature=Gar2,MiscFeature=Shed,MiscFeature=Othr,MiscVal,MoSold,YrSold,SaleType=WD,SaleType=COD,SaleType=New,SaleType=ConLD,SaleType=Oth,SaleType=Con,SaleType=ConLw,SaleType=ConLI,SaleType=CWD,SaleCondition
1461,20,1,0,0,0,0,80,11622,0,?,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,6,1961,1961,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,468,1,0,0,0,0,0,144,270,882,1,0,0,0,1,0,0,0,0,0,1,0,0,0,896,0,0,896,0,0,1,0,2,1,1,0,0,0,5,1,0,0,0,0,0,0,0,?,?,?,?,?,1,0,0,0,0,0,1961,1,0,0,1,730,1,0,0,0,1,0,0,0,0,1,0,0,140,0,0,0,120,0,?,1,0,0,0,?,?,?,0,6,2010,1,0,0,0,0,0,0,0,0,Normal
1462,20,0,1,0,0,0,81,14267,0,?,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6,6,1958,1958,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,108,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,923,0,1,0,0,0,0,0,406,1329,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1329,0,0,1329,0,0,1,1,3,1,0,1,0,0,6,1,0,0,0,0,0,0,0,?,?,?,?,?,1,0,0,0,0,0,1958,1,0,0,1,312,1,0,0,0,1,0,0,0,0,1,0,0,393,36,0,0,0,0,?,?,?,?,?,1,0,0,12500,6,2010,1,0,0,0,0,0,0,0,0,Normal
1463,60,0,1,0,0,0,74,13830,0,?,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,5,1997,1998,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,791,0,1,0,0,0,0,0,137,928,1,0,0,0,0,1,0,0,0,0,1,0,0,0,928,701,0,1629,0,0,2,1,3,1,1,0,0,0,6,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1997,0,1,0,2,482,1,0,0,0,1,0,0,0,0,1,0,0,212,34,0,0,0,0,?,1,0,0,0,?,?,?,0,3,2010,1,0,0,0,0,0,0,0,0,Normal
1464,60,0,1,0,0,0,78,9978,0,?,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,6,1998,1998,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,602,0,1,0,0,0,0,0,324,926,1,0,0,0,0,0,1,0,0,0,1,0,0,0,926,678,0,1604,0,0,2,1,3,1,0,1,0,0,7,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1998,0,1,0,2,470,1,0,0,0,1,0,0,0,0,1,0,0,360,36,0,0,0,0,?,?,?,?,?,?,?,?,0,6,2010,1,0,0,0,0,0,0,0,0,Normal
1465,120,0,1,0,0,0,43,5005,0,?,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8,5,1992,1992,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,263,0,1,0,0,0,0,0,1017,1280,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1280,0,0,1280,0,0,2,0,2,1,0,1,0,0,5,1,0,0,0,0,0,0,0,?,?,?,?,?,1,0,0,0,0,0,1992,0,0,1,2,506,1,0,0,0,1,0,0,0,0,1,0,0,0,82,0,0,144,0,?,?,?,?,?,?,?,?,0,1,2010,1,0,0,0,0,0,0,0,0,Normal
1466,60,0,1,0,0,0,75,10000,0,?,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,5,1993,1994,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,763,763,1,0,0,0,0,1,0,0,0,0,1,0,0,0,763,892,0,1655,0,0,2,1,3,1,1,0,0,0,7,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1993,0,1,0,2,440,1,0,0,0,1,0,0,0,0,1,0,0,157,84,0,0,0,0,?,?,?,?,?,?,?,?,0,4,2010,1,0,0,0,0,0,0,0,0,Normal
1467,20,0,1,0,0,0,?,7980,0,?,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6,7,1992,2007,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,935,0,1,0,0,0,0,0,233,1168,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1187,0,0,1187,1,0,2,0,3,1,1,0,0,0,6,1,0,0,0,0,0,0,0,?,?,?,?,?,1,0,0,0,0,0,1992,0,1,0,2,420,1,0,0,0,1,0,0,0,0,1,0,0,483,21,0,0,0,0,?,0,1,0,0,0,1,0,500,3,2010,1,0,0,0,0,0,0,0,0,Normal
1468,60,0,1,0,0,0,63,8402,0,?,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,5,1998,1998,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,789,789,1,0,0,0,0,1,0,0,0,0,1,0,0,0,789,676,0,1465,0,0,2,1,3,1,1,0,0,0,7,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1998,0,1,0,2,393,1,0,0,0,1,0,0,0,0,1,0,0,0,75,0,0,0,0,?,?,?,?,?,?,?,?,0,5,2010,1,0,0,0,0,0,0,0,0,Normal
1469,20,0,1,0,0,0,85,10176,0,?,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7,5,1990,1990,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,637,0,1,0,0,0,0,0,663,1300,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1341,0,0,1341,1,0,1,1,2,1,0,1,0,0,5,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1990,1,0,0,2,506,1,0,0,0,1,0,0,0,0,1,0,0,192,0,0,0,0,0,?,?,?,?,?,?,?,?,0,2,2010,1,0,0,0,0,0,0,0,0,Normal
1470,20,0,1,0,0,0,70,8400,0,?,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,5,1970,1970,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,804,0,0,1,0,0,0,78,0,882,1,0,0,0,1,0,0,0,0,0,1,0,0,0,882,0,0,882,1,0,1,0,2,1,1,0,0,0,4,1,0,0,0,0,0,0,0,?,?,?,?,?,1,0,0,0,0,0,1970,0,1,0,2,525,1,0,0,0,1,0,0,0,0,1,0,0,240,0,0,0,0,0,?,1,0,0,0,?,?,?,0,4,2010,1,0,0,0,0,0,0,0,0,Normal
