MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MiscFeature,SaleType,SaleCondition,LotFrontage,LotArea,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,YearBuilt,YearRemodAdd,GarageYrBlt,MoSold,GarageCars,Fireplaces,TotRmsAbvGrd,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,OverallQual,OverallCond,YrSold,MSSubClass,LowQualFinSF,3SsnPorch,ScreenPorch,PoolArea,MiscVal,SalePrice
RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,NA,Attchd,RFn,TA,TA,Y,NA,NA,NA,WD,Normal,0.1506849315,0.0334198042,0.1225,0.1250885897,0,0.0642123288,0.1400981997,0.1197797155,0.413559322,0.2592313489,0.3864598025,0,0.1115173675,0,0.9492753623,0.8833333333,0.9363636364,2,0.5,0,0.5,0.3333333333,0,0.6666666667,0.5,0.375,0.3333333333,7,5,0.5,60,0,0,0,0,0,0.2410776281
RL,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,Gd,TA,Gd,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,TA,TA,Y,NA,NA,NA,WD,Normal,0.2020547945,0.0387950174,0,0.1732813607,0,0.1215753425,0.2065466448,0.2129417164,0,0.1748304446,0.3244005642,0.3477246208,0,0,0.7536231884,0.4333333333,0.6909090909,5,0.5,0.3333333333,0.3333333333,0,0.5,0.6666666667,0,0.375,0.3333333333,6,8,0.25,20,0,0,0,0,0,0.2035828357
RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,NA,NA,NA,WD,Normal,0.1609589041,0.0465072799,0.10125,0.0861091425,0,0.1857876712,0.1505728314,0.1344653511,0.41937046,0.2735493595,0.4287729196,0,0.0767824497,0,0.9347826087,0.8666666667,0.9181818182,9,0.5,0.3333333333,0.3333333333,0.3333333333,0,0.6666666667,0.5,0.375,0.3333333333,7,5,0.5,60,0,0,0,0,0,0.2619080683
RL,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,'Wd Sdng','Wd Shng',None,TA,TA,BrkTil,TA,Gd,No,ALQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Gd,Detchd,Unf,TA,TA,Y,NA,NA,NA,WD,Abnorml,0.1335616438,0.0385613125,0,0.03827073,0,0.2311643836,0.1237315876,0.1438733364,0.3661016949,0.260550113,0.4527503526,0,0.0639853748,0.4927536232,0.3115942029,0.3333333333,0.8909090909,2,0.75,0.3333333333,0.4166666667,0.3333333333,0,0.3333333333,0,0.375,0.3333333333,7,5,0,70,0,0,0,0,0,0.1459519511
RL,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,NA,NA,NA,WD,Normal,0.2157534247,0.0605763163,0.21875,0.1160524451,0,0.209760274,0.1873977087,0.1860945388,0.5099273608,0.3511680482,0.5895627645,0.2240373396,0.1535648995,0,0.9275362319,0.8333333333,0.9090909091,12,0.75,0.3333333333,0.5833333333,0.3333333333,0,0.6666666667,0.5,0.5,0.3333333333,8,5,0.5,60,0,0,0,0,0,0.2987085127
RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,Wood,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,NA,Attchd,Unf,TA,TA,Y,NA,MnPrv,Shed,WD,Normal,0.2191780822,0.0598985721,0,0.1296952516,0,0.0273972603,0.1302782324,0.1060119321,0.2740920097,0.1936699322,0.3385049365,0.0466744457,0.0548446069,0,0.8768115942,0.75,0.8454545455,10,0.5,0,0.25,0.3333333333,0,0.3333333333,0.5,0.125,0.3333333333,5,5,0.75,50,0,0.6299212598,0,0,0.0451612903,0.1501180392
RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,NA,NA,NA,WD,Normal,0.1849315068,0.0410572811,0.11625,0.2425584692,0,0.1357020548,0.2759410802,0.3120697568,0,0.2562170309,0.4485190409,0.2975495916,0.1042047532,0,0.9565217391,0.9166666667,0.9454545455,8,0.5,0.3333333333,0.4166666667,0.3333333333,0,0.6666666667,0,0.375,0.3333333333,8,5,0.25,20,0,0,0,0,0,0.3778641855
RL,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,Stone,TA,TA,CBlock,Gd,TA,Mn,ALQ,BLQ,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,TA,TA,Y,NA,NA,Shed,WD,Normal,0,0.0424501624,0.15,0.1521970234,0.0217096336,0.0924657534,0.1811783961,0.1773749426,0.4760290557,0.3308214017,0.341325811,0.2742123687,0.3729433272,0.4130434783,0.731884058,0.3833333333,0.6636363636,11,0.5,0.6666666667,0.4166666667,0.3333333333,0,0.6666666667,0.5,0.375,0.3333333333,7,6,0.75,60,0,0,0,0,0.0225806452,0.229273712
RM,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,BrkFace,'Wd Shng',None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Gd,Y,FuseF,TA,Min1,TA,Detchd,Unf,Fa,TA,Y,NA,NA,NA,WD,Abnorml,0.102739726,0.0225291547,0,0,0,0.4075342466,0.1558101473,0.1578705828,0.3641646489,0.2712886209,0.3300423131,0.1050175029,0,0.3713768116,0.4275362319,0,0.2818181818,4,0.5,0.6666666667,0.5,0,0,0.6666666667,0,0.25,0.6666666667,7,5,0.5,50,0,0,0,0,0,0.1319261214
RL,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,Gd,TA,Y,NA,NA,NA,WD,Normal,0.0993150685,0.0286054827,0,0.1507795889,0,0.0599315068,0.162193126,0.1704910509,0,0.1399773926,0.1445698166,0,0.0073126143,0,0.4855072464,0,0.3545454545,1,0.25,0.6666666667,0.25,0.3333333333,0,0.3333333333,0,0.25,0.6666666667,5,6,0.5,190,0,0,0,0,0,0.1154006388
