MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MiscFeature,SaleType,SaleCondition,LotFrontage,LotArea,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,YearBuilt,YearRemodAdd,GarageYrBlt,MoSold,GarageCars,Fireplaces,TotRmsAbvGrd,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,OverallQual,OverallCond,YrSold,MSSubClass,LowQualFinSF,3SsnPorch,ScreenPorch,PoolArea,MiscVal,SalePrice
RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,NA,Attchd,RFn,TA,TA,Y,NA,NA,NA,WD,Normal,65,8450,196,706,0,150,856,856,854,1710,548,0,61,0,2003,2003,2003,2,2,0,8,1,0,2,1,3,1,7,5,2008,60,0,0,0,0,0,208500
RL,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,Gd,TA,Gd,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,TA,TA,Y,NA,NA,NA,WD,Normal,80,9600,0,978,0,284,1262,1262,0,1262,460,298,0,0,1976,1976,1976,5,2,1,6,0,1,2,0,3,1,6,8,2007,20,0,0,0,0,0,181500
RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,NA,NA,NA,WD,Normal,68,11250,162,486,0,434,920,920,866,1786,608,0,42,0,2001,2002,2001,9,2,1,6,1,0,2,1,3,1,7,5,2008,60,0,0,0,0,0,223500
RL,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,'Wd Sdng','Wd Shng',None,TA,TA,BrkTil,TA,Gd,No,ALQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Gd,Detchd,Unf,TA,TA,Y,NA,NA,NA,WD,Abnorml,60,9550,0,216,0,540,756,961,756,1717,642,0,35,272,1915,1970,1998,2,3,1,7,1,0,1,0,3,1,7,5,2006,70,0,0,0,0,0,140000
RL,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,NA,NA,NA,WD,Normal,84,14260,350,655,0,490,1145,1145,1053,2198,836,192,84,0,2000,2000,2000,12,3,1,9,1,0,2,1,4,1,8,5,2008,60,0,0,0,0,0,250000
RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,Wood,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,NA,Attchd,Unf,TA,TA,Y,NA,MnPrv,Shed,WD,Normal,85,14115,0,732,0,64,796,796,566,1362,480,40,30,0,1993,1995,1993,10,2,0,5,1,0,1,1,1,1,5,5,2009,50,0,320,0,0,700,143000
RL,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,Stone,TA,TA,CBlock,Gd,TA,Mn,ALQ,BLQ,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,TA,TA,Y,NA,NA,Shed,WD,Normal,0,10382,240,859,32,216,1107,1107,983,2090,484,235,204,228,1973,1973,1973,11,2,2,7,1,0,2,1,3,1,7,6,2009,60,0,0,0,0,350,200000
RM,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,BrkFace,'Wd Shng',None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Gd,Y,FuseF,TA,Min1,TA,Detchd,Unf,Fa,TA,Y,NA,NA,NA,WD,Abnorml,51,6120,0,0,0,952,952,1022,752,1774,468,90,0,205,1931,1950,1931,4,2,2,8,0,0,2,0,2,2,7,5,2008,50,0,0,0,0,0,129900
RL,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,Gd,TA,Y,NA,NA,NA,WD,Normal,50,7420,0,851,0,140,991,1077,0,1077,205,0,4,0,1939,1950,1939,1,1,2,5,1,0,1,0,2,2,5,6,2008,190,0,0,0,0,0,118000
RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Ex,Y,SBrkr,TA,Typ,NA,Detchd,Unf,TA,TA,Y,NA,NA,NA,WD,Normal,70,11200,0,906,0,134,1040,1040,0,1040,384,0,0,0,1965,1965,1965,2,1,0,5,1,0,1,0,3,1,5,5,2008,20,0,0,0,0,0,129500
RL,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,Plywood,None,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,NA,Detchd,Unf,TA,TA,Y,NA,NA,NA,WD,Normal,0,12968,0,737,0,175,912,912,0,912,352,140,0,0,1962,1962,1962,9,1,0,4,1,0,1,0,2,1,5,6,2008,20,0,0,176,0,0,144000
RL,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Fa,Attchd,RFn,TA,TA,Y,NA,GdWo,NA,WD,Normal,0,10920,212,733,0,520,1253,1253,0,1253,352,0,213,176,1960,1960,1960,5,1,1,5,1,0,1,1,2,1,6,5,2008,20,0,0,0,0,0,157000
