MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MiscFeature,SaleType,SaleCondition,LotFrontage,LotArea,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,YearBuilt,YearRemodAdd,GarageYrBlt,MoSold,GarageCars,Fireplaces,TotRmsAbvGrd,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,OverallQual,OverallCond,YrSold,MSSubClass,LowQualFinSF,3SsnPorch,ScreenPorch,PoolArea,MiscVal,SalePrice
RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,NA,Attchd,RFn,TA,TA,Y,NA,NA,NA,WD,Normal,'\'(60.5-67.5]\'','\'(8066-8797.5]\'','\'(181-229]\'','\'(649.5-749]\'','\'(-inf-14]\'','\'(74.5-172.5]\'','\'(839.5-909]\'','\'(848.5-919]\'','\'(806.5-875.5]\'','\'(1709.5-1870.5]\'','\'(515.5-559]\'','\'(-inf-6]\'','\'(56.5-71]\'','\'(-inf-9.5]\'','\'(1997.5-2003.5]\'','\'(2002.5-2004.5]\'','\'(1999.5-2003.5]\'',2,2,0,8,1,0,2,1,3,1,7,5,2008,60,'\'(-inf-57.2]\'','\'(-inf-50.8]\'','\'(-inf-48]\'','\'(-inf-73.8]\'','\'(-inf-1550]\'',208500
RL,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,Gd,TA,Gd,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,TA,TA,Y,NA,NA,NA,WD,Normal,'\'(78.5-84.5]\'','\'(9485-10198.5]\'','\'(-inf-0.5]\'','\'(927-1167.5]\'','\'(-inf-14]\'','\'(279.5-374.5]\'','\'(1215.5-1390.5]\'','\'(1187.5-1317]\'','\'(-inf-55]\'','\'(1203.5-1337.5]\'','\'(439.5-478.5]\'','\'(251-325.5]\'','\'(-inf-2]\'','\'(-inf-9.5]\'','\'(1973.5-1984.5]\'','\'(1972.5-1983.5]\'','\'(1973.5-1980.5]\'',5,2,1,6,0,1,2,0,3,1,6,8,2007,20,'\'(-inf-57.2]\'','\'(-inf-50.8]\'','\'(-inf-48]\'','\'(-inf-73.8]\'','\'(-inf-1550]\'',181500
RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,NA,NA,NA,WD,Normal,'\'(67.5-72.5]\'','\'(11067.5-12207]\'','\'(145.5-181]\'','\'(443.5-552.5]\'','\'(-inf-14]\'','\'(374.5-477.5]\'','\'(909-990.5]\'','\'(919-1003.5]\'','\'(806.5-875.5]\'','\'(1709.5-1870.5]\'','\'(559-618.5]\'','\'(-inf-6]\'','\'(37-45.5]\'','\'(-inf-9.5]\'','\'(1997.5-2003.5]\'','\'(1998.5-2002.5]\'','\'(1999.5-2003.5]\'',9,2,1,6,1,0,2,1,3,1,7,5,2008,60,'\'(-inf-57.2]\'','\'(-inf-50.8]\'','\'(-inf-48]\'','\'(-inf-73.8]\'','\'(-inf-1550]\'',223500
RL,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,'Wd Sdng','Wd Shng',None,TA,TA,BrkTil,TA,Gd,No,ALQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Gd,Detchd,Unf,TA,TA,Y,NA,NA,NA,WD,Abnorml,'\'(59.5-60.5]\'','\'(9485-10198.5]\'','\'(-inf-0.5]\'','\'(209.5-340.5]\'','\'(-inf-14]\'','\'(477.5-604.5]\'','\'(755.5-839.5]\'','\'(919-1003.5]\'','\'(740-806.5]\'','\'(1709.5-1870.5]\'','\'(618.5-756.5]\'','\'(-inf-6]\'','\'(26.5-37]\'','\'(243-inf)\'','\'(-inf-1924.5]\'','\'(1963.5-1972.5]\'','\'(1993.5-1999.5]\'',2,3,1,7,1,0,1,0,3,1,7,5,2006,70,'\'(-inf-57.2]\'','\'(-inf-50.8]\'','\'(-inf-48]\'','\'(-inf-73.8]\'','\'(-inf-1550]\'',140000
RL,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,NA,NA,NA,WD,Normal,'\'(78.5-84.5]\'','\'(12207-14408.5]\'','\'(346-472.5]\'','\'(649.5-749]\'','\'(-inf-14]\'','\'(477.5-604.5]\'','\'(1087-1215.5]\'','\'(1088.5-1187.5]\'','\'(976-1151.5]\'','\'(2164-inf)\'','\'(756.5-inf)\'','\'(187.5-209.5]\'','\'(71-95.5]\'','\'(-inf-9.5]\'','\'(1997.5-2003.5]\'','\'(1998.5-2002.5]\'','\'(1999.5-2003.5]\'',12,3,1,9,1,0,2,1,4,1,8,5,2008,60,'\'(-inf-57.2]\'','\'(-inf-50.8]\'','\'(-inf-48]\'','\'(-inf-73.8]\'','\'(-inf-1550]\'',250000
RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,Wood,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,NA,Attchd,Unf,TA,TA,Y,NA,MnPrv,Shed,WD,Normal,'\'(84.5-94.5]\'','\'(12207-14408.5]\'','\'(-inf-0.5]\'','\'(649.5-749]\'','\'(-inf-14]\'','\'(-inf-74.5]\'','\'(755.5-839.5]\'','\'(756.5-848.5]\'','\'(510.5-598]\'','\'(1337.5-1458.5]\'','\'(478.5-515.5]\'','\'(6-96.5]\'','\'(26.5-37]\'','\'(-inf-9.5]\'','\'(1984.5-1997.5]\'','\'(1994.5-1998.5]\'','\'(1980.5-1993.5]\'',10,2,0,5,1,0,1,1,1,1,5,5,2009,50,'\'(-inf-57.2]\'','\'(304.8-355.6]\'','\'(-inf-48]\'','\'(-inf-73.8]\'','\'(-inf-1550]\'',143000
RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,NA,NA,NA,WD,Normal,'\'(72.5-78.5]\'','\'(9485-10198.5]\'','\'(181-229]\'','\'(1167.5-inf)\'','\'(-inf-14]\'','\'(279.5-374.5]\'','\'(1603-inf)\'','\'(1683-inf)\'','\'(-inf-55]\'','\'(1576.5-1709.5]\'','\'(618.5-756.5]\'','\'(251-325.5]\'','\'(56.5-71]\'','\'(-inf-9.5]\'','\'(2003.5-2005.5]\'','\'(2004.5-2006.5]\'','\'(2003.5-2005.5]\'',8,2,1,7,1,0,2,0,3,1,8,5,2007,20,'\'(-inf-57.2]\'','\'(-inf-50.8]\'','\'(-inf-48]\'','\'(-inf-73.8]\'','\'(-inf-1550]\'',307000
RL,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,Stone,TA,TA,CBlock,Gd,TA,Mn,ALQ,BLQ,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,TA,TA,Y,NA,NA,Shed,WD,Normal,?,'\'(10198.5-11067.5]\'','\'(229-285.5]\'','\'(749-927]\'','\'(14-113.5]\'','\'(172.5-279.5]\'','\'(1087-1215.5]\'','\'(1088.5-1187.5]\'','\'(976-1151.5]\'','\'(1870.5-2164]\'','\'(478.5-515.5]\'','\'(209.5-251]\'','\'(164-inf)\'','\'(215-243]\'','\'(1965.5-1973.5]\'','\'(1972.5-1983.5]\'','\'(1965.5-1973.5]\'',11,2,2,7,1,0,2,1,3,1,7,6,2009,60,'\'(-inf-57.2]\'','\'(-inf-50.8]\'','\'(-inf-48]\'','\'(-inf-73.8]\'','\'(-inf-1550]\'',200000
RM,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,BrkFace,'Wd Shng',None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Gd,Y,FuseF,TA,Min1,TA,Detchd,Unf,Fa,TA,Y,NA,NA,NA,WD,Abnorml,'\'(43.5-53.5]\'','\'(5000.5-7088]\'','\'(-inf-0.5]\'','\'(-inf-1]\'','\'(-inf-14]\'','\'(897.5-1233]\'','\'(909-990.5]\'','\'(1003.5-1088.5]\'','\'(740-806.5]\'','\'(1709.5-1870.5]\'','\'(439.5-478.5]\'','\'(6-96.5]\'','\'(-inf-2]\'','\'(184.5-215]\'','\'(1924.5-1947.5]\'','\'(-inf-1950.5]\'','\'(-inf-1945.5]\'',4,2,2,8,0,0,2,0,2,2,7,5,2008,50,'\'(-inf-57.2]\'','\'(-inf-50.8]\'','\'(-inf-48]\'','\'(-inf-73.8]\'','\'(-inf-1550]\'',129900
RL,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,Gd,TA,Y,NA,NA,NA,WD,Normal,'\'(43.5-53.5]\'','\'(7088-8066]\'','\'(-inf-0.5]\'','\'(749-927]\'','\'(-inf-14]\'','\'(74.5-172.5]\'','\'(990.5-1087]\'','\'(1003.5-1088.5]\'','\'(-inf-55]\'','\'(1062.5-1203.5]\'','\'(-inf-237]\'','\'(-inf-6]\'','\'(2-26.5]\'','\'(-inf-9.5]\'','\'(1924.5-1947.5]\'','\'(-inf-1950.5]\'','\'(-inf-1945.5]\'',1,1,2,5,1,0,1,0,2,2,5,6,2008,190,'\'(-inf-57.2]\'','\'(-inf-50.8]\'','\'(-inf-48]\'','\'(-inf-73.8]\'','\'(-inf-1550]\'',118000
