MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MiscFeature,SaleType,SaleCondition,LotFrontage,LotArea,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,YearBuilt,YearRemodAdd,GarageYrBlt,MoSold,GarageCars,Fireplaces,TotRmsAbvGrd,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,OverallQual,OverallCond,YrSold,MSSubClass,LowQualFinSF,3SsnPorch,ScreenPorch,PoolArea,MiscVal,SalePrice
RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,NA,Attchd,RFn,TA,TA,Y,NA,NA,NA,WD,Normal,'\'(50.2-79.4]\'','\'(-inf-22694.5]\'','\'(160-320]\'','\'(564.4-1128.8]\'','\'(-inf-147.4]\'','\'(-inf-233.6]\'','\'(611-1222]\'','\'(769.8-1205.6]\'','\'(826-1032.5]\'','\'(1395.6-1926.4]\'','\'(425.4-567.2]\'','\'(-inf-85.7]\'','\'(54.7-109.4]\'','\'(-inf-55.2]\'','\'(1996.2-inf)\'','\'(1998-2004]\'','\'(1999-inf)\'',2,2,0,8,1,0,2,1,3,1,7,5,2008,60,'\'(-inf-57.2]\'','\'(-inf-50.8]\'','\'(-inf-48]\'','\'(-inf-73.8]\'','\'(-inf-1550]\'',208500
RL,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,Gd,TA,Gd,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,TA,TA,Y,NA,NA,NA,WD,Normal,'\'(79.4-108.6]\'','\'(-inf-22694.5]\'','\'(-inf-160]\'','\'(564.4-1128.8]\'','\'(-inf-147.4]\'','\'(233.6-467.2]\'','\'(1222-1833]\'','\'(1205.6-1641.4]\'','\'(-inf-206.5]\'','\'(864.8-1395.6]\'','\'(425.4-567.2]\'','\'(257.1-342.8]\'','\'(-inf-54.7]\'','\'(-inf-55.2]\'','\'(1968.6-1982.4]\'','\'(1974-1980]\'','\'(1966-1977]\'',5,2,1,6,0,1,2,0,3,1,6,8,2007,20,'\'(-inf-57.2]\'','\'(-inf-50.8]\'','\'(-inf-48]\'','\'(-inf-73.8]\'','\'(-inf-1550]\'',181500
RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,NA,NA,NA,WD,Normal,'\'(50.2-79.4]\'','\'(-inf-22694.5]\'','\'(160-320]\'','\'(-inf-564.4]\'','\'(-inf-147.4]\'','\'(233.6-467.2]\'','\'(611-1222]\'','\'(769.8-1205.6]\'','\'(826-1032.5]\'','\'(1395.6-1926.4]\'','\'(567.2-709]\'','\'(-inf-85.7]\'','\'(-inf-54.7]\'','\'(-inf-55.2]\'','\'(1996.2-inf)\'','\'(1998-2004]\'','\'(1999-inf)\'',9,2,1,6,1,0,2,1,3,1,7,5,2008,60,'\'(-inf-57.2]\'','\'(-inf-50.8]\'','\'(-inf-48]\'','\'(-inf-73.8]\'','\'(-inf-1550]\'',223500
RL,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,'Wd Sdng','Wd Shng',None,TA,TA,BrkTil,TA,Gd,No,ALQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Gd,Detchd,Unf,TA,TA,Y,NA,NA,NA,WD,Abnorml,'\'(50.2-79.4]\'','\'(-inf-22694.5]\'','\'(-inf-160]\'','\'(-inf-564.4]\'','\'(-inf-147.4]\'','\'(467.2-700.8]\'','\'(611-1222]\'','\'(769.8-1205.6]\'','\'(619.5-826]\'','\'(1395.6-1926.4]\'','\'(567.2-709]\'','\'(-inf-85.7]\'','\'(-inf-54.7]\'','\'(220.8-276]\'','\'(1913.4-1927.2]\'','\'(1968-1974]\'','\'(1988-1999]\'',2,3,1,7,1,0,1,0,3,1,7,5,2006,70,'\'(-inf-57.2]\'','\'(-inf-50.8]\'','\'(-inf-48]\'','\'(-inf-73.8]\'','\'(-inf-1550]\'',140000
RL,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,NA,NA,NA,WD,Normal,'\'(79.4-108.6]\'','\'(-inf-22694.5]\'','\'(320-480]\'','\'(564.4-1128.8]\'','\'(-inf-147.4]\'','\'(467.2-700.8]\'','\'(611-1222]\'','\'(769.8-1205.6]\'','\'(1032.5-1239]\'','\'(1926.4-2457.2]\'','\'(709-850.8]\'','\'(171.4-257.1]\'','\'(54.7-109.4]\'','\'(-inf-55.2]\'','\'(1996.2-inf)\'','\'(1998-2004]\'','\'(1999-inf)\'',12,3,1,9,1,0,2,1,4,1,8,5,2008,60,'\'(-inf-57.2]\'','\'(-inf-50.8]\'','\'(-inf-48]\'','\'(-inf-73.8]\'','\'(-inf-1550]\'',250000
RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,Wood,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,NA,Attchd,Unf,TA,TA,Y,NA,MnPrv,Shed,WD,Normal,'\'(79.4-108.6]\'','\'(-inf-22694.5]\'','\'(-inf-160]\'','\'(564.4-1128.8]\'','\'(-inf-147.4]\'','\'(-inf-233.6]\'','\'(611-1222]\'','\'(769.8-1205.6]\'','\'(413-619.5]\'','\'(864.8-1395.6]\'','\'(425.4-567.2]\'','\'(-inf-85.7]\'','\'(-inf-54.7]\'','\'(-inf-55.2]\'','\'(1982.4-1996.2]\'','\'(1992-1998]\'','\'(1988-1999]\'',10,2,0,5,1,0,1,1,1,1,5,5,2009,50,'\'(-inf-57.2]\'','\'(304.8-355.6]\'','\'(-inf-48]\'','\'(-inf-73.8]\'','\'(-inf-1550]\'',143000
RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,NA,NA,NA,WD,Normal,'\'(50.2-79.4]\'','\'(-inf-22694.5]\'','\'(160-320]\'','\'(1128.8-1693.2]\'','\'(-inf-147.4]\'','\'(233.6-467.2]\'','\'(1222-1833]\'','\'(1641.4-2077.2]\'','\'(-inf-206.5]\'','\'(1395.6-1926.4]\'','\'(567.2-709]\'','\'(171.4-257.1]\'','\'(54.7-109.4]\'','\'(-inf-55.2]\'','\'(1996.2-inf)\'','\'(2004-inf)\'','\'(1999-inf)\'',8,2,1,7,1,0,2,0,3,1,8,5,2007,20,'\'(-inf-57.2]\'','\'(-inf-50.8]\'','\'(-inf-48]\'','\'(-inf-73.8]\'','\'(-inf-1550]\'',307000
RL,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,Stone,TA,TA,CBlock,Gd,TA,Mn,ALQ,BLQ,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,TA,TA,Y,NA,NA,Shed,WD,Normal,?,'\'(-inf-22694.5]\'','\'(160-320]\'','\'(564.4-1128.8]\'','\'(-inf-147.4]\'','\'(-inf-233.6]\'','\'(611-1222]\'','\'(769.8-1205.6]\'','\'(826-1032.5]\'','\'(1926.4-2457.2]\'','\'(425.4-567.2]\'','\'(171.4-257.1]\'','\'(164.1-218.8]\'','\'(220.8-276]\'','\'(1968.6-1982.4]\'','\'(1968-1974]\'','\'(1966-1977]\'',11,2,2,7,1,0,2,1,3,1,7,6,2009,60,'\'(-inf-57.2]\'','\'(-inf-50.8]\'','\'(-inf-48]\'','\'(-inf-73.8]\'','\'(-inf-1550]\'',200000
RM,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,BrkFace,'Wd Shng',None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Gd,Y,FuseF,TA,Min1,TA,Detchd,Unf,Fa,TA,Y,NA,NA,NA,WD,Abnorml,'\'(50.2-79.4]\'','\'(-inf-22694.5]\'','\'(-inf-160]\'','\'(-inf-564.4]\'','\'(-inf-147.4]\'','\'(934.4-1168]\'','\'(611-1222]\'','\'(769.8-1205.6]\'','\'(619.5-826]\'','\'(1395.6-1926.4]\'','\'(425.4-567.2]\'','\'(85.7-171.4]\'','\'(-inf-54.7]\'','\'(165.6-220.8]\'','\'(1927.2-1941]\'','\'(-inf-1956]\'','\'(1922-1933]\'',4,2,2,8,0,0,2,0,2,2,7,5,2008,50,'\'(-inf-57.2]\'','\'(-inf-50.8]\'','\'(-inf-48]\'','\'(-inf-73.8]\'','\'(-inf-1550]\'',129900
RL,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,Gd,TA,Y,NA,NA,NA,WD,Normal,'\'(-inf-50.2]\'','\'(-inf-22694.5]\'','\'(-inf-160]\'','\'(564.4-1128.8]\'','\'(-inf-147.4]\'','\'(-inf-233.6]\'','\'(611-1222]\'','\'(769.8-1205.6]\'','\'(-inf-206.5]\'','\'(864.8-1395.6]\'','\'(141.8-283.6]\'','\'(-inf-85.7]\'','\'(-inf-54.7]\'','\'(-inf-55.2]\'','\'(1927.2-1941]\'','\'(-inf-1956]\'','\'(1933-1944]\'',1,1,2,5,1,0,1,0,2,2,5,6,2008,190,'\'(-inf-57.2]\'','\'(-inf-50.8]\'','\'(-inf-48]\'','\'(-inf-73.8]\'','\'(-inf-1550]\'',118000
