Id,MSSubClass,MSZoning=RL,MSZoning=RM,'MSZoning=C (all)',MSZoning=FV,MSZoning=RH,LotFrontage,LotArea,Street,Alley,LotShape=Reg,LotShape=IR1,LotShape=IR2,LotShape=IR3,LandContour=Lvl,LandContour=Bnk,LandContour=Low,LandContour=HLS,Utilities,LotConfig=Inside,LotConfig=FR2,LotConfig=Corner,LotConfig=CulDSac,LotConfig=FR3,LandSlope=Gtl,LandSlope=Mod,LandSlope=Sev,Neighborhood=CollgCr,Neighborhood=Veenker,Neighborhood=Crawfor,Neighborhood=NoRidge,Neighborhood=Mitchel,Neighborhood=Somerst,Neighborhood=NWAmes,Neighborhood=OldTown,Neighborhood=BrkSide,Neighborhood=Sawyer,Neighborhood=NridgHt,Neighborhood=mes,Neighborhood=SawyerW,Neighborhood=IDOTRR,Neighborhood=MeadowV,Neighborhood=Edwards,Neighborhood=Timber,Neighborhood=Gilbert,Neighborhood=StoneBr,Neighborhood=ClearCr,Neighborhood=NPkVill,Neighborhood=Blmngtn,Neighborhood=BrDale,Neighborhood=SWISU,Neighborhood=Blueste,Condition1=Norm,Condition1=Feedr,Condition1=PosN,Condition1=Artery,Condition1=RRAe,Condition1=RRNn,Condition1=RRAn,Condition1=PosA,Condition1=RRNe,Condition2=Norm,Condition2=Artery,Condition2=RRNn,Condition2=Feedr,Condition2=PosN,Condition2=PosA,Condition2=RRAn,Condition2=RRAe,BldgType=1Fam,BldgType=2fmCon,BldgType=Duplex,BldgType=TwnhsE,BldgType=Twnhs,HouseStyle=2Story,HouseStyle=1Story,HouseStyle=1.5Fin,HouseStyle=1.5Unf,HouseStyle=SFoyer,HouseStyle=SLvl,HouseStyle=2.5Unf,HouseStyle=2.5Fin,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle=Gable,RoofStyle=Hip,RoofStyle=Gambrel,RoofStyle=Mansard,RoofStyle=Flat,RoofStyle=Shed,RoofMatl=CompShg,RoofMatl=WdShngl,RoofMatl=Metal,RoofMatl=WdShake,RoofMatl=Membran,RoofMatl=Tar&Grv,RoofMatl=Roll,RoofMatl=ClyTile,Exterior1st=VinylSd,Exterior1st=MetalSd,'Exterior1st=Wd Sdng',Exterior1st=HdBoard,Exterior1st=BrkFace,Exterior1st=WdShing,Exterior1st=CemntBd,Exterior1st=Plywood,Exterior1st=AsbShng,Exterior1st=Stucco,Exterior1st=BrkComm,Exterior1st=AsphShn,Exterior1st=Stone,Exterior1st=ImStucc,Exterior1st=CBlock,Exterior2nd=VinylSd,Exterior2nd=MetalSd,'Exterior2nd=Wd Shng',Exterior2nd=HdBoard,Exterior2nd=Plywood,'Exterior2nd=Wd Sdng',Exterior2nd=CmentBd,Exterior2nd=BrkFace,Exterior2nd=Stucco,Exterior2nd=AsbShng,'Exterior2nd=Brk Cmn',Exterior2nd=ImStucc,Exterior2nd=AsphShn,Exterior2nd=Stone,Exterior2nd=Other,Exterior2nd=CBlock,MasVnrType=BrkFace,MasVnrType=None,MasVnrType=Stone,MasVnrType=BrkCmn,MasVnrArea,ExterQual=Gd,ExterQual=TA,ExterQual=Ex,ExterQual=Fa,ExterCond=TA,ExterCond=Gd,ExterCond=Fa,ExterCond=Po,ExterCond=Ex,Foundation=PConc,Foundation=CBlock,Foundation=BrkTil,Foundation=Wood,Foundation=Slab,Foundation=Stone,BsmtQual=Gd,BsmtQual=TA,BsmtQual=Ex,BsmtQual=Fa,BsmtCond=TA,BsmtCond=Gd,BsmtCond=Fa,BsmtCond=Po,BsmtExposure=No,BsmtExposure=Gd,BsmtExposure=Mn,BsmtExposure=Av,BsmtFinType1=GLQ,BsmtFinType1=ALQ,BsmtFinType1=Unf,BsmtFinType1=Rec,BsmtFinType1=BLQ,BsmtFinType1=LwQ,BsmtFinSF1,BsmtFinType2=Unf,BsmtFinType2=BLQ,BsmtFinType2=ALQ,BsmtFinType2=Rec,BsmtFinType2=LwQ,BsmtFinType2=GLQ,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating=GasA,Heating=GasW,Heating=Grav,Heating=Wall,Heating=OthW,Heating=Floor,HeatingQC=Ex,HeatingQC=Gd,HeatingQC=TA,HeatingQC=Fa,HeatingQC=Po,CentralAir,Electrical=SBrkr,Electrical=FuseF,Electrical=FuseA,Electrical=FuseP,Electrical=Mix,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual=Gd,KitchenQual=TA,KitchenQual=Ex,KitchenQual=Fa,TotRmsAbvGrd,Functional=Typ,Functional=Min1,Functional=Maj1,Functional=Min2,Functional=Mod,Functional=Maj2,Functional=Sev,Fireplaces,FireplaceQu=TA,FireplaceQu=Gd,FireplaceQu=Fa,FireplaceQu=Ex,FireplaceQu=Po,GarageType=Attchd,GarageType=Detchd,GarageType=BuiltIn,GarageType=CarPort,GarageType=Basment,GarageType=2Types,GarageYrBlt,GarageFinish=RFn,GarageFinish=Unf,GarageFinish=Fin,GarageCars,GarageArea,GarageQual=TA,GarageQual=Fa,GarageQual=Gd,GarageQual=Ex,GarageQual=Po,GarageCond=TA,GarageCond=Fa,GarageCond=Gd,GarageCond=Po,GarageCond=Ex,PavedDrive=Y,PavedDrive=N,PavedDrive=P,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC=Ex,PoolQC=Fa,PoolQC=Gd,Fence=MnPrv,Fence=GdWo,Fence=GdPrv,Fence=MnWw,MiscFeature=Shed,MiscFeature=Gar2,MiscFeature=Othr,MiscFeature=TenC,MiscVal,MoSold,YrSold,SaleType=WD,SaleType=New,SaleType=COD,SaleType=ConLD,SaleType=ConLI,SaleType=CWD,SaleType=ConLw,SaleType=Con,SaleType=Oth,SaleCondition=Normal,SaleCondition=Abnorml,SaleCondition=Partial,SaleCondition=AdjLand,SaleCondition=Alloca,SaleCondition=Family,SalePrice
1,60,1,0,0,0,0,65,8450,0,?,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7,5,2003,2003,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,196,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,706,1,0,0,0,0,0,0,150,856,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,856,854,0,1710,1,0,2,1,3,1,1,0,0,0,8,1,0,0,0,0,0,0,0,?,?,?,?,?,1,0,0,0,0,0,2003,1,0,0,2,548,1,0,0,0,0,1,0,0,0,0,1,0,0,0,61,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,0,2,2008,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,208500
2,20,1,0,0,0,0,80,9600,0,?,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,8,1976,1976,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,978,1,0,0,0,0,0,0,284,1262,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1262,0,0,1262,0,1,2,0,3,1,0,1,0,0,6,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1976,1,0,0,2,460,1,0,0,0,0,1,0,0,0,0,1,0,0,298,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,0,5,2007,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,181500
3,60,1,0,0,0,0,68,11250,0,?,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7,5,2001,2002,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,162,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,486,1,0,0,0,0,0,0,434,920,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,920,866,0,1786,1,0,2,1,3,1,1,0,0,0,6,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2001,1,0,0,2,608,1,0,0,0,0,1,0,0,0,0,1,0,0,0,42,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,0,9,2008,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,223500
4,70,1,0,0,0,0,60,9550,0,?,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7,5,1915,1970,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,216,1,0,0,0,0,0,0,540,756,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,961,756,0,1717,1,0,1,0,3,1,1,0,0,0,7,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1998,0,1,0,3,642,1,0,0,0,0,1,0,0,0,0,1,0,0,0,35,272,0,0,0,?,?,?,?,?,?,?,?,?,?,?,0,2,2006,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,140000
5,60,1,0,0,0,0,84,14260,0,?,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8,5,2000,2000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,350,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,655,1,0,0,0,0,0,0,490,1145,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1145,1053,0,2198,1,0,2,1,4,1,1,0,0,0,9,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2000,1,0,0,3,836,1,0,0,0,0,1,0,0,0,0,1,0,0,192,84,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,0,12,2008,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,250000
6,50,1,0,0,0,0,85,14115,0,?,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,5,1993,1995,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,732,1,0,0,0,0,0,0,64,796,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,796,566,0,1362,1,0,1,1,1,1,0,1,0,0,5,1,0,0,0,0,0,0,0,?,?,?,?,?,1,0,0,0,0,0,1993,0,1,0,2,480,1,0,0,0,0,1,0,0,0,0,1,0,0,40,30,0,320,0,0,?,?,?,1,0,0,0,1,0,0,0,700,10,2009,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,143000
7,20,1,0,0,0,0,75,10084,0,?,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,8,5,2004,2005,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,186,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1369,1,0,0,0,0,0,0,317,1686,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1694,0,0,1694,1,0,2,0,3,1,1,0,0,0,7,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2004,1,0,0,2,636,1,0,0,0,0,1,0,0,0,0,1,0,0,255,57,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,0,8,2007,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,307000
8,60,1,0,0,0,0,?,10382,0,?,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7,6,1973,1973,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,240,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,859,0,1,0,0,0,0,32,216,1107,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1107,983,0,2090,1,0,2,1,3,1,0,1,0,0,7,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1973,1,0,0,2,484,1,0,0,0,0,1,0,0,0,0,1,0,0,235,204,228,0,0,0,?,?,?,?,?,?,?,1,0,0,0,350,11,2009,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,200000
9,50,0,1,0,0,0,51,6120,0,?,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,5,1931,1950,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,952,952,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1022,752,0,1774,0,0,2,0,2,2,0,1,0,0,8,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1931,0,1,0,2,468,0,1,0,0,0,1,0,0,0,0,1,0,0,90,0,205,0,0,0,?,?,?,?,?,?,?,?,?,?,?,0,4,2008,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,129900
10,190,1,0,0,0,0,50,7420,0,?,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,6,1939,1950,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,851,1,0,0,0,0,0,0,140,991,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1077,0,0,1077,1,0,1,0,2,2,0,1,0,0,5,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1939,1,0,0,1,205,0,0,1,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,0,1,2008,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,118000
